comments,label,text,processed_comments,processed_newstitle,labels
"미친...걍 다 안쓰럽...연습생, 가수들이무슨잘못...아이즈원 엑스원 힘내...",none,"프듀 순위조작 갈수록 대범…탈락자 바꾸기→득표수 전반조작
",미친걍 다 안쓰럽연습생 가수들이 잘못 아이즈 원 엑스원 힘내,프듀 순위 조작 갈수록 대 범 탈락자 바꾸기 득표수 전반 조작,0.0
미친...얼굴 반반한거 하나로 뜬 애가 할소리냐..,offensive,"""""""돈 쉽게 벌려고 했어요?""""…'골목식당' 조보아, 백종원급 독설""
",미친 얼굴 반반한 거 하나로 뜬 애가 할 소리냐,돈 쉽게 벌려고 골목식당 조보아 백종원 급 독설,1.0
미친고래 출연시켜라 솔직히 서현진이 나와야지,none,"""“누구보다 강렬했던 도인범의 컴백”…‘김사부2’ 양세종, 특별출연의 좋은 예""
",미친 고래 출연시켜라 솔직히 서현진이 나와야지,누구보다 강렬했던 도인범의 컴백 김사부2 양세종 특별출연의 좋은,0.0
미친짜식~~정준영이나 승리나 쓰레기나이 어린것들이 못 된것만 배워가지고욕도 아깝다,hate,"""정준영, 총 23개 대화방서 불법영상 공유…정준영·승리 외 유포자 ‘또 있다’""
",미친짜식정준영이나 승리나 쓰레기나이 어린 것들이 못 된 것만 배워가지고 욕도 아깝다,정준영 총 23개 대화방서 불법 영상 공유 정준영승리 외 유포자,2.0
미코 되고나서 몇년뒤 백화점서 본 적 있는데 키가 163인 나만했던걸로 기억. 내키가 미코 진 될만한 키는 아닌데...이쁘긴 이뻤음.,none,"""이병헌 동생 이은희, 이지안으로 개명→‘연애의 맛’ 깜짝출연[종합]""
",미코 되고 나서 뒤 백화점서 본 적 있는데 키가 163인 나만 했던 걸로 기 억 내키가 미코 진 될 만한 키는 아닌데이쁘긴 이뻤 음,이병헌 동생 이은희 이지안으로 개명연애의 맛 깜짝 출연종합,0.0
미투 최대 피해자김생민ᆢ불쌍해,none,"""[Oh!쎈 초점] 김생민 통편집 '짠내투어'..""""편집 대단""""vs""""매력도 없어져""""""
",미투 최대 피해자 김생민 ᆢ불쌍해,oh쎈 초점 김생민 통 편집 짠 내 투어편집 대단 vs매력도 없어져,0.0
미투당하는한남들보다 훨씬나음 음악으루보답해주세영,hate,"""[단독] 유승준 """"새 앨범, 사죄와 반성 담아... 용서해주시길""""""
",미투당하는 한남들보다 나음 음악으루 보답해주세영,단독 유승준 새 앨범 사죄와 반성 담아 용 서해주시길,2.0
미투충들아 언론에 놀아나는 개OOO들 미투는 니미 좠투다,hate,"""[SC이슈]조재현 미투는 ing…""""17세 때 성폭행"""" vs """"공소시효 만료""""(종합)""
",미투충들아 언론에 놀아나는 개 ooo들 미투는 니미 좠 투다,sc 이슈 조재현 미투는 ing 17세 성폭행 vs 공소시효 만료종합,2.0
미혼들만 나오면 자기자식들이랑;;;;,offensive,"""'미우새' 이상윤 """"현재 애인 없어""""…홍진영母 """"진영이와 4살차이""""""
",미혼들만 나오면 자식들이랑,미우새 이상윤 현재 애인 없어 홍진영母 진영이 4살 차이,1.0
"미혼성인남녀끼리있었던잠자리썰을 공개하는이유가뭐냐? 나이가몇인데 이런썰로엿먹이려는지몰라도, 한심하네,",hate,"""[이슈IS] 양준혁 性스캔들 의혹 """"숨겨진 본성"""" 폭로글 일파만파""
",미혼성인 남녀끼리 있었던 잠자리 썰을 공개하는 이유가 뭐냐 나이가 몇인데 썰로 엿먹이려는지 몰라도 한 심하네,이슈is 양준혁 性스캔들 의혹 숨겨진 본성 폭로 글 일파만파,2.0
믹스나인 데뷔조밖에 생각안난다 걔들이 더낫지 진짜 인물도 정말없고실력도 거기서거기고 믹스나인데뷔조얘들은 그렇게버리더니성공많이하세요 약회장님,offensive,"""'YG보석함' 이미담, 숙소 무단이탈 초유의 사태 """"우울하고 지친다""""""
",믹스나인 데뷔조 밖에 생각 안 난다 걔들이 더 낫지 진짜 인물도 정말 없고 실력도 거기서 거기 고 믹스나인데뷔조 얘들은 그렇게 버리더니 성공 많이 하세요 약 회장님,yg보석함 미담 숙소 무단 이탈 초유의 사태 우울하고 지친다,1.0
민간인 사망소식도 기사에 올라오네 ;;,offensive,"""[단독] 모델 출신 배우 김민승, 어제(22일) 발인…향년 45세""
",민간인 사망 소식도 기사에 올라오네,단독 모델 출신 배우 김민승 어제22일 발인 향년 45세,1.0
민머리하니까 더 잘생겨보여요,none,"""[종합] """"삭발 완료""""…'두데' 김인석, 약속도 화끈하게 지키는 남자""
",민머리 하니까 더 잘생겨 보여요,종합 삭발 완료 두데 김인석 약속도 화끈하게 지키는 남자,0.0
민상아 처낟 잘보내고 와,none,"""[종합] 김민경 남동생, 9일 사망 비보→애도·위로 물결…'맛녀석' """"정상 방송""""""
",민상아 처 낟 잘 보내고,종합 김민경 남동생 9일 사망 비보애도위로 물결 맛녀석 정상 방송,0.0
민상아 처남 잘보내고 와라,none,"""[종합] 김민경 남동생, 9일 사망 비보→애도·위로 물결…'맛녀석' """"정상 방송""""""
",민상아 처남 잘 보내고 와라,종합 김민경 남동생 9일 사망 비보애도위로 물결 맛녀석 정상 방송,0.0
민석씨 목소리도 좋고 인기도 많아지고 좋은데 살좀빼세요~~살빼면 멋잇을듯~ 인기 많아졌으니 관리좀드가세요~ 너목나올때보다 배는 찌셨네요..,none,"""[★밤TView]'불후' 멜로망스, 감미로운 목소리..첫 출연에 최종 勝""
",민석씨 목소리도 좋고 인기도 많아지고 좋은데 살 빼세요살빼면 멋잇을 듯 인기 많아졌으니 관리 좀드가세요 너목 나올 때보다 배는 찌셨네요,밤tview 불후 멜로망스 감미로운 목소리 첫 출연에 최종 勝,0.0
민수아가 이해된다 엄현경씨 연기 정말 잘하세요 숨바꼭질 정말 재밌게 보고 있어요 화이팅,none,"""[종합] '숨바꼭질' 송창의, 엄현경=진짜 상속녀 알았다 '충격'""
",민수아가 이해 된다 엄현경 씨 연기 정말 잘하세요 숨 바꼭질 정말 재밌게 보고 있어요 화이팅,종합 숨바꼭질 송창의 엄현경진짜 상속녀 알았다 충격,0.0
"민수야, 솔직히 니 승질은 드럽잖아ㆍ인정할 건 인정하고 다뚸라..",offensive,"""[SC현장]""""연예인 인생 협박 유감""""…미소잃은 최민수, '보복운전 혐의' 2차 공판(종합)""
",민수야 솔직히 니 승질은 드럽잖아 ㆍ 인정할 건 인정하고 다뚸라,sc현장연예인 인생 협박 유감 미소 잃은 최민수 보복운전 혐의 2차 공판종합,1.0
민이가 먹방하면 좋겠어요민이 너무 사랑스러워,none,"""'둥지탈출3' 박종진, 두 딸과 함께 고깃집 외식…12인분 고기 '먹방'(종합)""
",민이가 먹방하면 좋겠어요민이 너무 사랑스러워,둥지 탈출3 박종진 두 딸과 고깃집 외식 12인분 고기 먹방종합,0.0
민폐남주 내가 어떻게 행동해도 만월이 도울꺼니 괜찮아라니.. 그리고 까칠한 사장 직원관계에서 뭔 갑자기 커플이야,none,"""'호텔델루나'이지은, 여진구 남겨둔 채 호텔과 함께 사라졌다 [종합]""
",민폐남주 내가 행동해도 만 월이 도 울꺼니 괜찮아라니 까칠한 사장 직원 관계에서 뭔 갑자기 커플 이야,호텔 델루나이 지은 여진 남겨둔 채 호텔과 사라졌다 종합,0.0
민폐는무슨 저정도는 할수있지 왜이리오바들이야 패션쇼를 알기나하나 욕하는거 어이가없다,none,"""‘나 혼자 산다’ 기안84, 패션 위크서 돌발행동 사과 “민폐네…” [간밤TV]""
",민폐는 정도는 할 수 있지 이리 오바들이야 패션쇼를 알기나 욕하는 거 어이가 없다,산다 기 안 84 패션 위크서 돌발 행동 사과 민폐네 간밤tv,0.0
민폐프로 왜 보냐,offensive,"""[SC리뷰]""""韓과 인연"""" '하룻밤만' 이상민·조재윤, 베트남 부부와 하룻밤(종합)""
",민폐 프로 보냐,sc리뷰韓과 인연 하룻밤만 이상민조재윤 베트남 부부와 하룻밤종합,1.0
민현이랑 라원이 잘 봤어요 진짜 갓기 둘이서 예방접종이라니ㅜㅠㅠㅠㅠㅠㅠㅠ,none,"'슈돌' 뉴이스트 민현·렌 등장…라임이의 뜨거운 시선 '폭소'
",민현이랑 라원이 잘 봤어요 진짜 갓기 둘이서 예방접종이라니 ㅜㅠㅠㅠㅠㅠㅠㅠ,슈돌 뉴이스트 민현렌 등장 라임이의 뜨거운 시선 폭소,0.0
믿고 거르는 송윤아,hate,"[종합] '시크릿 마더' 김소연 누가 죽였나…송윤아와 갈등
",믿고 거르는 송윤아,종합 시크릿 마더 김소연 누가 죽였나 송윤아와 갈,2.0
믿고 거르는 아이유,hate,"""[단독] 아이유X이선균 '나의 아저씨', 3월 21일 첫방송 확정""
",믿고 거르는 아이유,단독 아이유x이선균 나의 아저씨 3월 21일 첫 방송 확정,2.0
믿고 거르는 우익년,hate,"""[SC이슈]아이즈원 사쿠라X이채연, 시청자 울린 韓日 우정…'프로듀스48'의 가치""
",믿고 거르는 우익년,sc 이슈 아이즈원 사쿠라x이채연 시청자 울린 韓日 우정 프로듀스48의 가치,2.0
믿고보는 남궁민!,none,"""'스토브리그' 남궁민, '검은 머리 외국인' 이용우 용병 영입 '최고 14.3%'""
",믿고 보는 남궁민,스토브리그 남궁민 검은 머리 외국인 이용우 용병 영입 최고 143,0.0
믿고보는 송혜교 케미 기대이상 눈호강함 어제는 인물 소개고 오늘부터 본격 스토리겠지 오늘도 기대,none,"""‘남자친구’ 송혜교♥박보검, 첫방부터 제대로 홀렸다..최고 10.1%""
",믿고 보는 송혜교 케미 기대 눈 호강함 어제는 인물 소개 고 오늘부터 본격 스토리겠지 오늘도 기대,남자친구 송혜교 박보검 첫 방부터 제대로 홀렸다최고 101,0.0
믿고보는 장동건.ㅋㄷㅋㄷ,none,"""첫방 ‘아스달’ 송중기母 추자현, 어린 장동건 음모 희생양 됐다""
",믿고 보는 장동건ㅋㄷㅋㄷ,첫 방 아스달 송 중기母 추자현 어린 장동건 음모 희생양 됐다,0.0
믿고보는 혜리♥♥♥,none,"""""""혜리 인생작 예고"""" '청일전자 미쓰리', 공감대 높인 오피스물 탄생(종합)""
",믿고 보는 혜리,혜리 인생작 예고 청일전자 미쓰리 공감대 높인 오피스 물 탄생종합,0.0
믿는빽이 있으니 무서운게 있었겠니 그런 허세 장난으로 점점더심해져서 지금 이렇게 범죄자가 됨,offensive,"""[종합]승리, 심경고백→YG 세무조사→또 의혹…""""코카인 투약VS대질조사""""""
",믿는 빽이 있으니 무서운 게 있었겠니 그런 허세 장난으로 점점 더 심해져서 지금 이렇게 범죄자가 됨,종합승리 심경 고백yg 세무조사 의혹 코카인 투약 vs 대질조사,1.0
믿보...김혜숙... 우ㄱㄱㅣㄱㄱㅣ섬 ㄴㅏㄹㅏ 지구상서 ㅇㅏㅇㅖ없어졌으면...역ㄱㅕ운 ㅇㅏㅂㅔ... 오늘 축구도 ㄱㅐ망하고 어른 짐 ㅅㅅㅏ 돌대가리들 ㅇㅏ ㅈㅐ섭ㅇㅓ,hate,"""'섹션TV' 김해숙 """"'허스토리' 촬영 후 우울증 얻었다""""""
",믿보 김혜숙 우ㄱㄱㅣㄱㄱㅣ섬 ㄴㅏㄹㅏ 지구 상서 ㅇㅏㅇㅖ 없어졌으면 역ㄱㅕ운 ㅇㅏㅂㅔ 오늘 축구도 ㄱㅐ 망하고 어른 짐 ㅅㅅㅏ 돌대가리들 ㅇㅏ ㅈㅐ 섭ㅇㅓ,섹션 tv 김해숙 허스토리 촬영 후 우울증 얻었다,2.0
밉상의 혼전임신?자랑이냐?그걸 또 지입으로 밝혀요..ㅋㅋ,hate,"""'5월 결혼' 한채아, 혼전 임신..""""임신 6주, 예비 엄마""""(전문)""
",밉상의 혼 전 임신 자랑이냐그걸 지입으로 밝혀요ㅋㅋ,5월 결혼 한 채 혼 전 임신 임신 6주 예비 엄마 전문,2.0
바다 최소현씨는 미친 싱크로율이었다!!!,none,"""'히든5' 모창전쟁가고, 듀엣쇼 온다‥전시즌 통튼 '진검승부' 예고[어저께TV]""
",바다 최소 현씨는 미 친 싱크로율이었다,히든5 모창 전쟁 가고 듀엣 쇼 온다 전시즌 통튼 진검 승부 예고 어저께 tv,0.0
바람 피는건 죄가 아니다 사람이 한평생 한여자만 사랑할수는 없자나,offensive,"'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합]
",바람 피는 건 죄가 아니다 사람이 한 평생 한 여자만 사랑할 수는 없자나,둥지 탈출3 박잎선이 밝힌 송종국과 혼 양육비 송지아 x송지욱 종합,1.0
바람 핀게 팩트도 아니데 어느순간 팩트마냥ㅉㅉ,none,"""송종국, 딸 지아와 운동 삼매경 '붕어빵 부녀'""
",바람 핀 게 팩트도 아니데 순간 팩트 마냥 ㅉㅉ,송종국 딸 지아와 운동 삼매경 붕어빵 부녀,0.0
바람녀는 아닐듯 표예진 짝사랑정도 겠지만 마지막회쯤 되서 다 밝혀지고 정선과 잘살기위해서 그랬다는둥 나올것 같음,none,"""‘VIP’ 표예진, 이상윤 여자였다 [간밤TV]""
",바람녀는 아닐 듯 표 예진 짝사랑 정도 겠지만 마지막 회쯤 되서 다 밝혀지고 정선과 잘 살기 그랬다는 둥 나올 같음,vip 표 예진 이상윤 여자였다 간밤 tv,0.0
바람이 죄도아닌데 뭘... 이젠 시대가 바꼇지. 잎선이도 종국이처럼 자유연애하고 그래라. 21세기다.,none,"'둥지탈출3' 박잎선이 밝힌 #송종국과 이혼 #양육비 #송지아x송지욱[종합]
",바람이 죄도 아닌데 뭘 시대가 바꼇지 잎선이 도 종국이처럼 자유연애하고 그래라 21세기다,둥지 탈출3 박잎선이 밝힌 송종국과 혼 양육비 송지아 x송지욱 종합,0.0
바람피운건 잘못은 맞지만 외모평가는 저 근거없는 자신감은 어서 나오는걸까,offensive,"""이혜정, 남편 외도 고백 """"나보다 못한 여자랑..용서 못해""""""
",바람피운 건 잘못은 맞지만 외모 평가는 근거 없는 자신감은 어서 나오는 걸까,이혜정 남편 외도 고백 나보다 못한 자랑용서 못해,1.0
바람핀것 맞다는애들 기사나 읽어보고 개소리하는거냐 ㅋㅋ 그런일 있었다곤 언급도 없었는데 허위사실유포하는거 ㅈㄴ 웃기네 ㅋㅋㅋ 김흥국한테 고소나 쳐맞길 ㅋㅋ,offensive,"""[Oh!쎈 레터] '무혐의' 김흥국, 여론도 달라지나..""""가짜 미투 엄하게 처벌""""""
",바람 핀 맞다는 애들 기사나 읽어보고 개소리하는 거냐 ㅋㅋ 그런 있었다곤 언급도 없었는데 허위 사실 유포하는 거 ㅈㄴ 웃기네 ㅋㅋㅋ 김흥국한테 고소나 쳐맞길 ㅋㅋ,oh쎈 레터 무혐의 김흥국 여론도 달라 지나 가짜 미 투 엄하게 처벌,1.0
바로 채널 돌림,none,"""'나혼산' 한혜연X화사, 동대문 물욕 쇼핑 투어…성훈X나래 'DJ 불나방' 변신[종합]""
",채널 돌림,나혼산 한 혜연 x화사 동대문 물욕 쇼핑 투어 성훈 x나래 dj 불나방 변신종합,0.0
바비도 검사해라. 쿠시는 이미 마약사범,hate,"""비아이, 마약 의혹→탈퇴·전속계약 해지…아이콘 어떻게 되나 [종합]""
",바비도 검사해라 쿠시는 이미 마약사범,비아이 마약 의혹 탈퇴전속계약 해지 아이콘 되나 종합,2.0
바에서 몸파는 ㄴ이 멋있냐? ㅋㅋㅋ,hate,"""'복면가왕' 하리수 """"안 좋은 편견 깨고 싶다""""…최고 '11.4%'""
",바에서 몸 파는 ㄴ이 멋있냐 ㅋㅋㅋ,복면가왕 하리 수 안 좋은 편견 깨고 싶다 최고 114,2.0
바이브는 왜? 박경 왜이리 경솔하냐?문제적남자에선 예절바르게 있더니,offensive,"""""""사실무근-강경대응""""..바이브·송하예→장덕철 6팀, 박경 '사재기' 저격에 뿔났다[종합]""
",바이브는 박경 이리 경솔하냐 문제적 남자에선 예절 바르게 있더니,사실무근강경 대응바이브송하예장덕철 6팀 박경 사재기 저격에 뿔났다종합,1.0
바지사장이 무슨죄냐,offensive,"""[SC이슈] 버닝썬·성접대·탈세 의혹..승리, 25일 '무사입대'할 수 있나(종합)""
",바지 사장이 죄냐,sc 이슈 버닝썬성접대탈세 의혹승리 25일 무사 입대할 수 있나종합,1.0
박경림은 빼자,none,"""[단독] 조인성에 장나라까지…'뉴논스톱' 멤버들, 전격 '재회'""
",박경림은 빼자,단독 조인성에 장나라까지 뉴논스톱 멤버들 전격 재회,0.0
박경은 다른일 알아봐라 머리 쓰는 쪽으로.. 가수로는 빛을 못볼거 같다,none,"""블락비 박경 """"너 왜 혼자있냐""""…지코 재계약 불발에 간접 언급""
",박경은 알아봐라 머리 쓰는 가수로는 빛을 못 볼 거,블락비 박경 있냐 지코 재계약 불발에 간접 언급,0.0
박규리니 가능한거지.. 페미는 안되요 죽었다 깨어나도...,hate,"""'영앤리치♥' 박규리, 7살 연하 남친과 인연 맺은 전시회 언급? """"서로 서로 나눔"""" [종합]""
",박규 리니 가능한 거지 페미는 안 되요 죽었다 깨어나도,영앤리치 박규리 7살 연하 남친과 인연 맺은 전시회 언급 서로 서로 나눔 종합,2.0
박나래 ㅎ아직도이용진좋아하는지 급 궁금,none,"[종합] 이용진 향한 자이언트 핑크의 공개고백...팬心인 걸로
",박나래 ㅎ아직도 이용진 좋아하는지 급 궁금,종합 이용 진 향한 자이언트 핑크의 공개 고백팬心인 걸로,0.0
박나래 까지마 ㅡㅡ,none,"""'농염주의보' 박나래, 격정멜로 간절한 러브콜 """"전라노출 가능""""[엑's 현장]""
",박나래 마 ㅡㅡ,농염주의보 박나래 격정 멜로 간절한 러브콜 전라 노출 가능엑s 현장,0.0
박나래 너무 나온다 채널 돌리기만 하면 박나래 지겹다 진짜,none,"""‘미쓰 코리아’ 한고은 vs 박나래, 마크 리퍼트 입맛 사로잡을 굴순두부찌개은 누가? [간밤TV]""
",박나래 너무 나온 다 채널 돌리기만 하면 박나래 지겹 다 진짜,미쓰 코리아 한고은 vs 박나래 마크 리퍼트 입맛 사로잡을 굴순 두부찌개은 누가 간밤 tv,0.0
박나래 너무오바하지마 . 시끄럽고 거슬린다..ㅡㅡ송가인뜬금없네,offensive,"""'연애의맛' 오창석X이채은, 세 번째 데이트로 마음 확인""
",박나래 너무 오바하지마 시끄럽고 거슬린다ㅡㅡ 송가인 뜬금없네,연애의 맛 오창석 x이채은 세 번째 데이트로 마음 확인,1.0
박나래 옷입는 센스도 요리 맛깔나게 하는 것도 최고다 부러워^^,none,"""'나혼자' 박나래, 나래바 박사장의 요리 인생 최대 위기 '무슨 일?'""
",박나래 옷 입는 센스도 요리 맛깔나게 하는 것도 최고 다 부러워,박나래 나래바 박 사장의 요리 인생 최대 위기,0.0
박나래 요즘 잘나가니 겸손해하던 예전 모습이 잘안보이는듯 하네요,none,"""‘미쓰 코리아’ 한고은 vs 박나래, 마크 리퍼트 입맛 사로잡을 굴순두부찌개은 누가? [간밤TV]""
",박나래 요즘 잘나가니 겸손해하던 예전 모습이 잘 안 보이는 듯 하네요,미쓰 코리아 한고은 vs 박나래 마크 리퍼트 입맛 사로잡을 굴순 두부찌개은 누가 간밤 tv,0.0
박나래 유재석 강호동과 3대 엠씨에 연예대상 성훈하고 썸♡ 밥블레스유 메인 꿰차고 완전 올해 대박이네요,none,"""이영자 하차, 빈자리 누가 채우나""
",박나래 유재석 강호동과 3대 엠씨에 연예 대상 성훈하고 썸 밥 블레스 유 메인 꿰차고 완전 올해 대박이네요,이영자 하차 빈자리 누가 채우나,0.0
박나래 저사각턱이?? 방송사고급 표현 아닌가,hate,"""""""안타깝다""""...'나 혼자 산다' 한혜진, 후배들 부족한 모습에 '속상'""
",박나래 사각턱이 방송사 고급 표현 아닌가,안타깝다나 산다 한혜진 후배들 부족한 모습에 속상,2.0
박나래 전현무 좋아했잖아 내눈에는 그렇게 보였음..나혼자 할때..지금은 모르겠다,none,"""박나래 """"난 전현무가 헤어질 줄 알았다"""" 고백 ('어서 말을 해')""
",박나래 전현무 좋아했잖아 내 눈에는 그렇게 보였음나 할 때지금은 모르겠다,박나래 난 전현무가 헤어질 줄 알았다 고백 어서 말을 해,0.0
박나래 진짜 공중파에 나오는데 매번 너무 추한 모습으로 채널돌리게 만듬.,offensive,"'나혼자산다' 요섹남 김충재 반전일상x홍현희♥제이쓴 신혼집 첫 공개 [종합]
",박나래 진짜 공중파에 나오는데 너무 추한 모습으로 채널 돌리게 만 듬,산다 요섹 남 김충재 반전 일상x 홍현희 제이쓴 신혼집 첫 공개 종합,1.0
박나래가 헨리한테 어떻게 풀어볼거야라는거 성희롱인데 역시 여자남자 바뀌니까 조용하네 ㅋㅋㅋ 남자개그맨이 여자아이돌한테 저랬어봐 당장사과하라고 빼애애액 하차드립+대상반납,offensive,"""'나혼산' 박나래, 공황장애 기안84 걱정 """"시상식 힘들어해""""[★밤TView]""
",박나래가 헨리한테 풀어볼 거야라는 거 성희롱인데 역시 여자 남자 바뀌니까 조용하 ㅋㅋㅋ 남자 개그맨이 여자아이돌한 테 저랬어봐 사과하라고 빼 애애액 하차 드립대상 반납,나혼산 박나래 공황장애 기 안 84 걱정 시상식 힘들어해 밤tview,1.0
박나래는 너무 가식적인것같아 싫음!!,offensive,"[MBC 연예대상] 이영자 대상! KBS 이어 2관왕…박나래는 올해의 예능인 (종합)
",박나래는 너무 가식적인 같아 싫음,mbc 연예 대상 이영자 대상 kbs 이어 2관왕 박나래는 올해의 예능인 종합,1.0
박나래는 이거 때문에 짠내투어 나간거?,none,"""‘미쓰 코리아’ 한고은 vs 박나래, 마크 리퍼트 입맛 사로잡을 굴순두부찌개은 누가? [간밤TV]""
",박나래는 거 짠 내 투어 나간거,미쓰 코리아 한고은 vs 박나래 마크 리퍼트 입맛 사로잡을 굴순 두부찌개은 누가 간밤 tv,0.0
박명수 저 시키나 없애라.진짜 방송 처 하기 싫은거 바로 티난다.완전 거저 먹고 자빠졌네.,offensive,"""‘짠내투어’ 박나래, 베테랑 여행설계자→1년 반만 하차 ‘쏟아지는 아쉬움’(종합)[Oh!쎈 이슈]""
",박명수 시키나 없애라 진짜 방송 처 하기 싫은 거 티난다완전 거저 먹고 빠졌네,짠 내 투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움종합oh쎈 이슈,1.0
박명수는 그렇다 쳐도 김제동은 뭔데 저기에 꼽사리껴있음?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,hate,"""“8100억 전재산 기부”...주윤발 선행, 박명수·김제동도 “존경”(종합)[Oh!쎈 이슈]""
",박명수는 그렇다 쳐도 김제동은 뭔데 저기에 꼽사리껴 있음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,8100억 전 재산 기부주윤발 선행 박명수김제동 도 존경종합oh쎈 이슈,2.0
박명수는? 솔직히 존재의 이유를 못찾겠네,offensive,"""‘짠내투어’ 박나래, 베테랑 여행설계자→1년 반만 하차 ‘쏟아지는 아쉬움’(종합)[Oh!쎈 이슈]""
",박명수는 솔직히 존재의 이유를 못 찾겠네,짠 내 투어 박나래 베테랑 여행설계자 1년 반만 하차 쏟아지는 아쉬움종합oh쎈 이슈,1.0
박민영 너무 삭았네,offensive,"""[DA:리뷰] “넌 내 모든 것”…‘김비서’ 박서준♥박민영, 고통 뛰어넘은 사랑(종합)""
",박민영 너무 삭았네,da 리뷰 넌 내 모든 김 비서 박서준 박민영 고통 뛰어넘은 사랑종합,1.0
박민영 성형외과 진짜 진짜 궁금함ㅠㅠ,offensive,"""[SC이슈] """"열애NO"""" 박서준X박민영, '김비서' ♥케미→열애설 해프닝(종합)""
",박민영 성형외과 진짜 진짜 궁금함 ㅠㅠ,sc 이슈 열애 no 박서준 x박민영 김 비서 케미 열애설 해프닝종합,1.0
박민영 얼굴볼때마다 그 얼굴이 떠오름 ㅡㅡ 몰입이 안돼 으윽 박서준은 얼마나 곤욕일까??,offensive,"""[DA:리뷰] “넌 내 모든 것”…‘김비서’ 박서준♥박민영, 고통 뛰어넘은 사랑(종합)""
",박민영 얼굴 볼 때마다 얼굴이 떠오름 ㅡㅡ 몰입이 안 돼 으윽 박서준은 곤욕일까,da 리뷰 넌 내 모든 김 비서 박서준 박민영 고통 뛰어넘은 사랑종합,1.0
박민영은 ... 드라마 찍을때마다 스캔들 나,none,"""[SC이슈] """"열애NO"""" 박서준X박민영, '김비서' ♥케미→열애설 해프닝(종합)""
",박민영은 드라마 찍을 때마다 스캔들,sc 이슈 열애 no 박서준 x박민영 김 비서 케미 열애설 해프닝종합,0.0
박민영이 너무 예뻐서 본다.연기도 잘하고 예쁘고뭐하나ㅈ빠지는게 없네 ㅋ어쩜 이리 예쁘니?,none,"""박민영이 쐈다..'그녀의 사생활' 팀, 첫방 본방사수 회식 '이게 바로 입덕'""
",박민영이 너무 예뻐서 본다연기도 잘하고 예쁘고 뭐 ㅈ 빠지는 게 없네 ㅋ어 쩜 리 예쁘니,박민영이 쐈다그녀의 사생활 팀 첫 방 본 방사수 회식 이게 입덕,0.0
박민정씨 잘 하셨어요~~ 속이 시원하네요ㅋㅋㅋ 이제야 탈퇴ㅡㅡ,none,"""이종현, 자숙 중 부적절한 DM→씨엔블루 탈퇴 """"부끄럽고 면목없다"""" [종합]""
",박민정 씨 잘 하셨어요 속이 시원하네요 ㅋㅋㅋ 이제야 탈퇴 ㅡㅡ,이종현 자숙 중 부적절한 dm씨엔블루 탈퇴 부끄럽고 면목 없다 종합,0.0
박보검 + 송중기는 정해인 아님?? 진짜 조각상이야ㅜㅜ,none,"""[SE★인터뷰①]'예쁜 누나' 정해인 """"손예진, 윤진아에 빙의한듯 매 순간 진심이었다""""""
",박보검 송중기는 정해 인 아님 진짜 조각상 이야 ㅜㅜ,se인터뷰①예쁜 누나 정해인 손예진 윤진아에 빙의 한 듯 순간 진심이었다,0.0
박보검 교회검색^-^,offensive,"""윤아X박보검 환상의 시너지, '효리네 민박2' JTBC 역대 예능 최고 시청률""
",박보검 교회 검색,윤아x 박보검 환상의 시너지 효리네 민박2 jtbc 역대 예능 최고 시청률,1.0
박보검 머리 기르니까 뷔도 머리기르고 송중기까지 머리기르넨ㄴㅌㅌㅌㅌㅌㅌㅌ,none,"""[SC이슈]'송혜교♥' 송중기 """"사랑한다, 살아간다"""" 찬란한 소년美""
",박보검 머리 기르니까 뷔도 머리 기르고 송 중기까지 머리 기르넨 ㄴㅌㅌㅌㅌㅌㅌㅌ,sc 이슈송혜교 송 중기 사랑한다 살아간다 찬란한 소년美,0.0
박보검 제발 종교에서 빠져나오자,offensive,"""윤아X박보검 환상의 시너지, '효리네 민박2' JTBC 역대 예능 최고 시청률""
",박보검 제발 종교에서 빠져나오자,윤아x 박보검 환상의 시너지 효리네 민박2 jtbc 역대 예능 최고 시청률,1.0
박보검은 사이비가 아니고요 방탄보다 인기 많아요,offensive,"""BTS 뷔, 폭풍 친화력 어디까지?…이순재부터 할리우드 배우까지 다양""
",박보검은 사이비가 아니고요 방탄보다 인기 많아요,bts 뷔 폭풍 친화력 어디까지 이순재부터 할리우드 배우까지 다양,1.0
박보검은 사이비가 아닌 예수중심교회를 다녔던 평범한 기독교 신자입니다^_^,none,"""잔나비 측 """"SBS 보도 사실무근..허위사실 유포 법적 강력조치"""" [공식입장 전문]""
",박보검은 사이비가 아닌 예수 중심교회를 다녔던 평범한 기독교 신자입니다,잔나비 측 sbs 보도 실무근허위사실 유포 법적 강력 조치 공식 입장 전문,0.0
박보검은 평범한 기독교신자입니다,none,"""'음중' 송가인→레드벨벳·에이핑크, 울산 폭염 날린 '썸머 페스티벌' [종합]""
",박보검은 평범한 기독교신자입니다,음중 송가인 레드벨벳에이핑크 울산 폭염 날린 썸머 페스티벌 종합,0.0
